modelo,rack,numero_serie,puerto_conexion,servicio,estado,u_pos,u_size
SMD-4,RACK 3A,MXSTM1100155,,,,33-35,
SMD-5,RACK 3A,MXSTM1100145,,,,33-35,
SMD-6,RACK 3A,MXSTM1100213,,,,33-35,
SMD-7,RACK 3A,MXSTM1100154,,,,33-35,
SMD-8,RACK 3A,MXSTM1100142,,,,33-35,
SMD-9,RACK 3A,MXSTM1100029,,,,33-35,
SMD-10,RACK 3A,MXSTM1100549,,,,33-35,
SMD-11,RACK 3A,MXSTM1100088,,,,33-35,
SMD-12,RACK 3A,MXSTM1100210,,,,33-35,
LANTIME M1000,RACK 3A,60811033580,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,23,
GPS,RACK 3B,60811033480,,,,23,
SERVIDOR DEV AIO (QAS),RACK 3A,MXQ82203NN,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,6,
RACK 42U,RACK 3A,MXQ82403MS,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,,
TFT,RACK 3A,2C481791BA,,,,21,
KVM,RACK 3A,5CW82129LA,,,,21,
WS-C2960X-24TD-L,RACK 3A,FOC2219T1QR,,,,39,
RACK 42U,RACK 3B,MXQ82403MF,,,,,
TFT,RACK 3B,2C47308PRB,,,,21,
KVM,RACK 3B,5CW82029KG,,,,21,
WS-C2960X-24TD-L,RACK 3B,FOC2219T1QD,,,,39,
RACK 42U,RACK 1B,113330-29,,,,,
RACK 42U,RACK 5A,113330-30,,,,,
RACK 42U,RACK 4A,113330-32,,,,,
C1-ASR1001-X/K9,RACK 4A,FXS2152Q2D5,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,38,
APIC-SERVER-M2,RACK 3A,FCH2208V077,,,,15,
N9K-C9336PQ,RACK 1B,FDO21481SQK,,,,19-20,
C1-ASR1001-X/K9,RACK 1B,FXS2202Q0EC,,,,38,
APIC-SERVER-M2,RACK 3B,FCH2206V20D,,,,15,
N9K-C9336PQ,RACK 4A,FDO21350S1E,,,,19-20,
ProLiant DL360 Gen10,RACK 3A,MXQ82203PQ,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,12,
SERVIDOR COM (M),RACK 3B,MXQ82203Q8,,,,12,
ProLiant DL360 Gen10,RACK 3A,MXQ82201MN,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,10,
ProLiant DL360 Gen10,RACK 3A,MXQ82201NZ,,,,8,
SERVIDOR IFS (IFS),RACK 3B,MXQ82201NP,,,,10,
SERVIDOR IFS (IFS),RACK 3B,MXQ82201N0,,,,8,
ProLiant DL360 Gen10,RACK 3A,MXQ00404BG,,,,2,
SERVIDOR IFS (IFS),RACK 3B,MXQ81000CQ,,,,6,
SERVIDOR SICAM PAS (MICROS),RACK 3B,MXQ82400MV,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,2,
ProLiant DL360 Gen10,RACK 3A,MXQ82201VB,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,14,
SERVIDOR UI (UIR),RACK 3B,MXQ82201V7,,,,14,
ConnectPort LTS 32,RACK 3A,U81608853,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,32,
ConnectPort LTS 32,RACK 3A,U81608837,,,,31,
SIMULADOR MODO UTR HP PROBOOK 640,, 5CG8104CNP,Infraestructura del Sistema Gerencias de Control Y Subgerencia La Paz,,,,
SIMULADOR MODO UTR BCOM-USB,,USB-7903,,,,,
SIMULADOR MODO UTR MODEM,,MB-6971,,,,,
SG-6000-T5060,RACK 1B,2307442172000638,Infraestructura del Sistema de Monitoreo Dinamico del SEN (WAMS),,,25-26,
SG-6000-T5060,RACK 4A,2307442172000335,,,,22-23,
SG-6000-T5060,RACK 1B,2307436172000540,,,,22-23,
SG-6000-T5060,RACK 4A,2307436172000439,,,,25-26,
SERVIDOR PDC PDP (WSS),RACK 3A,MXQ82706HF,Infraestructura del Sistema de Monitoreo Dinamico del SEN (WAMS),,,4,
SERVIDOR PDC PDP (WSS),RACK 3B,MXQ82706H2,,,,4,
